chromosome	coordinate	RE_density	HFC
DcoA	37950000	0.0295	HFC
DcoA	38050000	0.0289	HFC
DcoA	38150000	0.03064	HFC
DcoA	38250000	0.02845	HFC
DcoA	38350000	0.02787	HFC
DcoA	38450000	0.03105	HFC
DcoA	38550000	0.02977	HFC
DcoA	38650000	0.03184	HFC
DcoA	38750000	0.03073	HFC
DcoA	38850000	0.03141	HFC
DcoA	38950000	0.02818	HFC
DcoA	39050000	0.02924	HFC
DcoA	39150000	0.031	HFC
DcoA	39250000	0.03455	HFC
DcoA	39350000	0.03321	HFC
DcoA	39450000	0.02994	HFC
DcoA	39550000	0.03404	non-HFC
DcoA	39650000	0.03321	non-HFC
DcoA	39750000	0.038	non-HFC
DcoA	39850000	0.03518	non-HFC
DcoA	39950000	0.03256	non-HFC
DcoA	40050000	0.0364	non-HFC
DcoA	40150000	0.03062	non-HFC
DcoA	40250000	0.0331	non-HFC
DcoA	40350000	0.03631	non-HFC
DcoA	40450000	0.03272	non-HFC
DcoA	40550000	0.03453	non-HFC
DcoA	40650000	0.03455	non-HFC
DcoA	40750000	0.03428	non-HFC
DcoA	40850000	0.03544	non-HFC
DcoA	40950000	0.03205	non-HFC
DcoA	41050000	0.0374	non-HFC
DcoA	41150000	0.03249	non-HFC
DcoA	41250000	0.03808	non-HFC
DcoA	41350000	0.03625	non-HFC
DcoA	41450000	0.0339	non-HFC
DcoA	41550000	0.03111	non-HFC
DcoA	41650000	0.03118	non-HFC
DcoA	41750000	0.0318	non-HFC
DcoA	41850000	0.03746	non-HFC
DcoA	41950000	0.03255	non-HFC
DcoA	42050000	0.03248	non-HFC
DcoA	42150000	0.03096	non-HFC
DcoA	42250000	0.03262	non-HFC
DcoA	42350000	0.03319	non-HFC
DcoA	42450000	0.03336	non-HFC
DcoA	42550000	0.03497	non-HFC
DcoA	42650000	0.03359	non-HFC
DcoA	42750000	0.0344	non-HFC
DcoA	42850000	0.02982	non-HFC
DcoA	42950000	0.0323	non-HFC
DcoA	43050000	0.0335	non-HFC
DcoA	43150000	0.03233	non-HFC
DcoA	43250000	0.03127	non-HFC
DcoA	43350000	0.03107	non-HFC
DcoA	43450000	0.030851703406813626	non-HFC
DcoA	43550000	0.03292	non-HFC
DcoA	43650000	0.03121	non-HFC
DcoA	43750000	0.03086	non-HFC
DcoA	43850000	0.03092	non-HFC
