chromosome	coordinate	exon_density	HFC
DcoA	24950000	0.23801	HFC
DcoA	25050000	0.3343086172344689	HFC
DcoA	25150000	0.29574	HFC
DcoA	25250000	0.3303	HFC
DcoA	25350000	0.32174	HFC
DcoA	25450000	0.31755	HFC
DcoA	25550000	0.3952	HFC
DcoA	25650000	0.33117	HFC
DcoA	25750000	0.32797	HFC
DcoA	25850000	0.32374	HFC
DcoA	25950000	0.27235	HFC
DcoA	26050000	0.31608	HFC
DcoA	26150000	0.22785	HFC
DcoA	26250000	0.2876	HFC
DcoA	26350000	0.24021	HFC
DcoA	26450000	0.3364	HFC
DcoA	26550000	0.24527	HFC
DcoA	26650000	0.34082	HFC
DcoA	26750000	0.30034	HFC
DcoA	26850000	0.31018	HFC
DcoA	26950000	0.29888	HFC
DcoA	27050000	0.24418	HFC
DcoA	27150000	0.17845	HFC
DcoA	27250000	0.22684	HFC
DcoA	27350000	0.23713426853707414	HFC
DcoA	27450000	0.21361	HFC
DcoA	27550000	0.25378	non-HFC
DcoA	27650000	0.10058	non-HFC
DcoA	27750000	0.27887	non-HFC
DcoA	27850000	0.17577	non-HFC
DcoA	27950000	0.14271	non-HFC
DcoA	28050000	0.23364	non-HFC
DcoA	28150000	0.23467	non-HFC
DcoA	28250000	0.27759	non-HFC
DcoA	28350000	0.2169	non-HFC
DcoA	28450000	0.21201	non-HFC
DcoA	28550000	0.24205	non-HFC
DcoA	28650000	0.18384	non-HFC
DcoA	28750000	0.22938877755511022	non-HFC
DcoA	28850000	0.20751	non-HFC
DcoA	28950000	0.17585	non-HFC
DcoA	29050000	0.29879	non-HFC
DcoA	29150000	0.17981	non-HFC
DcoA	29250000	0.19887	non-HFC
DcoA	29350000	0.1788	non-HFC
DcoA	29450000	0.1521	non-HFC
DcoA	29550000	0.18753	non-HFC
DcoA	29650000	0.20463	non-HFC
DcoA	29750000	0.17047	non-HFC
DcoA	29850000	0.17462	non-HFC
DcoA	29950000	0.17123	non-HFC
DcoA	30050000	0.23092	non-HFC
DcoA	30150000	0.20406	non-HFC
DcoA	30250000	0.31662	non-HFC
DcoA	30350000	0.26444	non-HFC
DcoA	30450000	0.21214	non-HFC
DcoA	30550000	0.23837	non-HFC
DcoA	30650000	0.30019	non-HFC
DcoA	30750000	0.19368	non-HFC
DcoA	30850000	0.1602	non-HFC
DcoA	30950000	0.19697	non-HFC
DcoA	31050000	0.29142	non-HFC
DcoA	31150000	0.37387	non-HFC
DcoA	31250000	0.30129	non-HFC
DcoA	31350000	0.20219	non-HFC
DcoA	31450000	0.20172	non-HFC
DcoA	31550000	0.19163	non-HFC
DcoA	31650000	0.20993	non-HFC
DcoA	31750000	0.29958	non-HFC
DcoA	31850000	0.23009	non-HFC
DcoA	31950000	0.24354	non-HFC
DcoA	32050000	0.18861	non-HFC
DcoA	32150000	0.24084	non-HFC
DcoA	32250000	0.26454	non-HFC
DcoA	32350000	0.28899	non-HFC
DcoA	32450000	0.23433	non-HFC
DcoA	32550000	0.27282	non-HFC
DcoA	32650000	0.30377	non-HFC
DcoA	32750000	0.25057	non-HFC
DcoA	32850000	0.18784	non-HFC
DcoA	32950000	0.24716	non-HFC
DcoA	33050000	0.26868	non-HFC
DcoA	33150000	0.31148	non-HFC
DcoA	33250000	0.27762	non-HFC
DcoA	33350000	0.24954	non-HFC
DcoA	33450000	0.25552	non-HFC
DcoA	33550000	0.15942	non-HFC
DcoA	33650000	0.21229	non-HFC
DcoA	33750000	0.23272	non-HFC
DcoA	33850000	0.22021	non-HFC
DcoA	33950000	0.24608	non-HFC
DcoA	34050000	0.25593	non-HFC
DcoA	34150000	0.24661	non-HFC
DcoA	34250000	0.27488	non-HFC
DcoA	34350000	0.31402	non-HFC
DcoA	34450000	0.22728	non-HFC
DcoA	34550000	0.20129	non-HFC
DcoA	34650000	0.25473	non-HFC
DcoA	34750000	0.32458	non-HFC
DcoA	34850000	0.25901	non-HFC
DcoA	34950000	0.25674	non-HFC
DcoA	35050000	0.29385	non-HFC
DcoA	35150000	0.21927	non-HFC
DcoA	35250000	0.24669	non-HFC
DcoA	35350000	0.27844689378757514	non-HFC
DcoA	35450000	0.29843	non-HFC
DcoA	35550000	0.18394	non-HFC
DcoA	35650000	0.27286	non-HFC
DcoA	35750000	0.21374	non-HFC
DcoA	35850000	0.15921	non-HFC
DcoA	35950000	0.20071	non-HFC
DcoA	36050000	0.1796	non-HFC
DcoA	36150000	0.17858	non-HFC
DcoA	36250000	0.17588	non-HFC
DcoA	36350000	0.29257	non-HFC
DcoA	36450000	0.29253	non-HFC
DcoA	36550000	0.34323	HFC
DcoA	36650000	0.20087	HFC
DcoA	36750000	0.28263	HFC
DcoA	36850000	0.20277	HFC
DcoA	36950000	0.33237	HFC
DcoA	37050000	0.31497	HFC
DcoA	37150000	0.34212	HFC
DcoA	37250000	0.26793	HFC
DcoA	37350000	0.23089	HFC
DcoA	37450000	0.26869	HFC
DcoA	37550000	0.40079	HFC
DcoA	37650000	0.30311	HFC
DcoA	37750000	0.29631	HFC
DcoA	37850000	0.26225	HFC
DcoA	37950000	0.21958	HFC
DcoA	38050000	0.21062	HFC
DcoA	38150000	0.21852	HFC
DcoA	38250000	0.24057	HFC
DcoA	38350000	0.24753	HFC
DcoA	38450000	0.24447	HFC
DcoA	38550000	0.19141	HFC
DcoA	38650000	0.21515	HFC
DcoA	38750000	0.23559	HFC
DcoA	38850000	0.21795	HFC
DcoA	38950000	0.17179	HFC
DcoA	39050000	0.20957	HFC
DcoA	39150000	0.11039	HFC
DcoA	39250000	0.26077	HFC
DcoA	39350000	0.22809	HFC
DcoA	39450000	0.20337	HFC
DcoA	39550000	0.20004	non-HFC
DcoA	39650000	0.24343	non-HFC
DcoA	39750000	0.39893	non-HFC
DcoA	39850000	0.22381	non-HFC
DcoA	39950000	0.1906	non-HFC
DcoA	40050000	0.19678	non-HFC
DcoA	40150000	0.19866	non-HFC
DcoA	40250000	0.2938	non-HFC
DcoA	40350000	0.32254	non-HFC
DcoA	40450000	0.22528	non-HFC
DcoA	40550000	0.24384	non-HFC
DcoA	40650000	0.27534	non-HFC
DcoA	40750000	0.31893	non-HFC
DcoA	40850000	0.13395	non-HFC
DcoA	40950000	0.18298	non-HFC
DcoA	41050000	0.23449	non-HFC
DcoA	41150000	0.19533	non-HFC
DcoA	41250000	0.32955	non-HFC
DcoA	41350000	0.31625	non-HFC
DcoA	41450000	0.16832	non-HFC
DcoA	41550000	0.18723	non-HFC
DcoA	41650000	0.22928	non-HFC
DcoA	41750000	0.17272	non-HFC
DcoA	41850000	0.33573	non-HFC
DcoA	41950000	0.29538	non-HFC
DcoA	42050000	0.16623	non-HFC
DcoA	42150000	0.22266	non-HFC
DcoA	42250000	0.13495	non-HFC
DcoA	42350000	0.18939	non-HFC
DcoA	42450000	0.28852	non-HFC
DcoA	42550000	0.2791	non-HFC
DcoA	42650000	0.18744	non-HFC
DcoA	42750000	0.22648	non-HFC
DcoA	42850000	0.18107	non-HFC
DcoA	42950000	0.25308	non-HFC
DcoA	43050000	0.19965	non-HFC
DcoA	43150000	0.24219	non-HFC
DcoA	43250000	0.2825	non-HFC
DcoA	43350000	0.25816	non-HFC
DcoA	43450000	0.24206412825651302	non-HFC
DcoA	43550000	0.17872	non-HFC
DcoA	43650000	0.18912	non-HFC
DcoA	43750000	0.25353	non-HFC
DcoA	43850000	0.18165	non-HFC
DcoA	43950000	0.20579	non-HFC
DcoA	44050000	0.30424	non-HFC
DcoA	44150000	0.20207	non-HFC
DcoA	44250000	0.31267	non-HFC
DcoA	44350000	0.21781	non-HFC
DcoA	44450000	0.215	non-HFC
DcoA	44550000	0.22697	HFC
DcoA	44650000	0.28672	HFC
DcoA	44750000	0.20172	HFC
DcoA	44850000	0.14719	HFC
DcoA	44950000	0.1862	HFC
DcoA	45050000	0.22482	HFC
DcoA	45150000	0.37817	HFC
DcoA	45250000	0.2303	HFC
DcoA	45350000	0.24803	HFC
DcoA	45450000	0.27155	HFC
DcoA	45550000	0.26595	HFC
DcoA	45650000	0.23256	HFC
DcoA	45750000	0.43743	HFC
DcoA	45850000	0.33782	HFC
DcoA	45950000	0.29595	HFC
DcoA	46050000	0.41381	HFC
DcoA	46150000	0.324	HFC
DcoA	46250000	0.30604	HFC
DcoA	46350000	0.37685	HFC
DcoA	46450000	0.38532	HFC
DcoA	46550000	0.31461	HFC
DcoA	46650000	0.28347	HFC
DcoA	46750000	0.2898	HFC
DcoA	46850000	0.30361	HFC
DcoA	46950000	0.30322	HFC
DcoA	47050000	0.33094	HFC
DcoA	47150000	0.30309	HFC
DcoA	47250000	0.33135	HFC
DcoA	47350000	0.22479	HFC
DcoA	47450000	0.32213	HFC
DcoA	47550000	0.28456	non-HFC
