scaffold_position	fraction_exonic
35150000	0.22141
35250000	0.26993
35350000	0.26436
35450000	0.26331
35550000	0.189
35650000	0.22584
35750000	0.23809
35850000	0.27486
35950000	0.24061
36050000	0.2585
36150000	0.20058
36250000	0.2152
36350000	0.2057
36450000	0.19617
36550000	0.19597
36650000	0.20684
36750000	0.20137
36850000	0.2273
36950000	0.25368
37050000	0.22734
37150000	0.24949
37250000	0.23125
37350000	0.19968
37450000	0.2106
37550000	0.26572
37650000	0.2819
37750000	0.27065
37850000	0.23288
37950000	0.24804
38050000	0.30288
38150000	0.24222
38250000	0.26347
38350000	0.21567
38450000	0.23938
38550000	0.23879
38650000	0.23037
38750000	0.16199
38850000	0.27876
38950000	0.10431
39050000	0.23759
39150000	0.14173
39250000	0.21246
39350000	0.14832
39450000	0.32469
39550000	0.26977
39650000	0.30045
39750000	0.21055
39850000	0.15271
39950000	0.27047
40050000	0.20877
40150000	0.29496
40250000	0.27463
40350000	0.29212
40450000	0.28512
40550000	0.25664
40650000	0.24067
40750000	0.23412
40850000	0.38848
40950000	0.26663
41050000	0.31437
41150000	0.25989
41250000	0.23441
41350000	0.23162
41450000	0.17279
41550000	0.24211
41650000	0.25896
41750000	0.25038
41850000	0.25827
41950000	0.1768
42050000	0.19656
42150000	0.18945
42250000	0.19055
42350000	0.21182
42450000	0.11808
42550000	0.23769
42650000	0.22407
42750000	0.17262
42850000	0.18238
42950000	0.2246
43050000	0.31253
43150000	0.25441
43250000	0.29839
43350000	0.19914
43450000	0.22485
43550000	0.20443
43650000	0.31965
43750000	0.27668336673346694
43850000	0.27284
43950000	0.17563
44050000	0.27108
44150000	0.172
44250000	0.26121
44350000	0.14334
44450000	0.17903
44550000	0.21758
44650000	0.17836
44750000	0.30496
44850000	0.3403
44950000	0.25796
45050000	0.16011
45150000	0.17043
45250000	0.23879
45350000	0.182
45450000	0.30541
45550000	0.26399
45650000	0.15642
45750000	0.22091
45850000	0.11746
45950000	0.22241
46050000	0.26028
46150000	0.28155
46250000	0.18516
46350000	0.18235
46450000	0.24383
46550000	0.20349699398797594
46650000	0.19974
46750000	0.27602
46850000	0.15429
46950000	0.28494
47050000	0.2541
47150000	0.23104
47250000	0.16196
47350000	0.26813
47450000	0.2391
47550000	0.20532
47650000	0.24269
47750000	0.2535871743486974
47850000	0.20412
47950000	0.29838
48050000	0.20024
48150000	0.19489
48250000	0.23579
48350000	0.19844
48450000	0.27551
48550000	0.15643
48650000	0.14527
48750000	0.15646
48850000	0.26995
48950000	0.38611
49050000	0.23289
49150000	0.21216
49250000	0.21495
49350000	0.2679
49450000	0.24882
49550000	0.24086
49650000	0.42286
49750000	0.34554
49850000	0.29604
49950000	0.41703
50050000	0.34606
50150000	0.3668
50250000	0.35805
50350000	0.37592
50450000	0.31014
50550000	0.2345
50650000	0.34365
50750000	0.27534
50850000	0.31771
50950000	0.36605
51050000	0.23834
51150000	0.33648
51250000	0.26507
51350000	0.27765
51450000	0.21237
51550000	0.32427
51650000	0.18747
51750000	0.20871
51850000	0.2261
51950000	0.21091
52050000	0.26695
52150000	0.20001
52250000	0.14909
52350000	0.10087
52450000	0.25903
52550000	0.13346
52650000	0.23942
52750000	0.22007
52850000	0.15801
52950000	0.22947
53050000	0.19875
53150000	0.19732
53250000	0.16408
53350000	0.22279
53450000	0.25601
53550000	0.17535
53650000	0.18017
53750000	0.23121
53850000	0.26163
53950000	0.21894
54050000	0.17431
54150000	0.21037
54250000	0.19044
54350000	0.20193
54450000	0.20704
54550000	0.15165
54650000	0.19827
54750000	0.23661
54850000	0.23976
54950000	0.24559
55050000	0.25044
