scaffold_position	fraction_exonic
12850000	0.27021
12950000	0.2442
13050000	0.21102
13150000	0.23028
13250000	0.18327
13350000	0.16791
13450000	0.16119
13550000	0.15969
13650000	0.17643
13750000	0.20427
13850000	0.2649
13950000	0.23952
14050000	0.23385
14150000	0.21401
14250000	0.17159
14350000	0.21299
14450000	0.19116
14550000	0.28098
14650000	0.24106
14750000	0.19049
14850000	0.2238
14950000	0.16569138276553105
15050000	0.18467
15150000	0.21292
15250000	0.26064
15350000	0.3443
15450000	0.16107214428857716
15550000	0.27951
15650000	0.17817
15750000	0.23415
15850000	0.23063
15950000	0.30274
16050000	0.24636
16150000	0.24633
16250000	0.11013
16350000	0.21764
16450000	0.27478
16550000	0.24552
16650000	0.2167
16750000	0.29608
16850000	0.25157
16950000	0.28545
17050000	0.23463
17150000	0.28716
17250000	0.25545
17350000	0.25525
17450000	0.22344
17550000	0.28907
17650000	0.21244
17750000	0.23386
17850000	0.22914829659318636
17950000	0.25527
18050000	0.29391
18150000	0.31146
18250000	0.26663
18350000	0.20404
18450000	0.19897
18550000	0.22426
18650000	0.26701
18750000	0.35523
18850000	0.2223
18950000	0.29042
19050000	0.24452
19150000	0.26582
19250000	0.2441683366733467
19350000	0.15682
19450000	0.27055
19550000	0.25094
19650000	0.22049
19750000	0.16261
19850000	0.26632
19950000	0.28873
20050000	0.24275
20150000	0.25171
20250000	0.30426
20350000	0.18391
20450000	0.26953
20550000	0.25112
20650000	0.1747
20750000	0.26063
20850000	0.18515
20950000	0.30966
21050000	0.26734
21150000	0.2217
21250000	0.27288
21350000	0.20951
21450000	0.26274
21550000	0.22873
21650000	0.18141
21750000	0.24665
21850000	0.09291
21950000	0.2155
22050000	0.1914
22150000	0.22047
22250000	0.20955
22350000	0.19992
22450000	0.17383
22550000	0.21032
22650000	0.27124
22750000	0.22911
22850000	0.24684
22950000	0.2517
23050000	0.12735
23150000	0.30294
23250000	0.26997
23350000	0.16515
23450000	0.23673
23550000	0.22885
23650000	0.27068
23750000	0.23478
23850000	0.23436
23950000	0.26763
24050000	0.2711
24150000	0.23449
24250000	0.30623
24350000	0.28088
24450000	0.31391
24550000	0.35296
24650000	0.23891
24750000	0.31059
24850000	0.21087
24950000	0.23801
25050000	0.3343086172344689
25150000	0.29574
25250000	0.3303
25350000	0.32174
25450000	0.31755
25550000	0.3952
25650000	0.33117
25750000	0.32797
25850000	0.32374
25950000	0.27235
26050000	0.31608
26150000	0.22785
26250000	0.2876
26350000	0.24021
26450000	0.3364
26550000	0.24527
26650000	0.34082
26750000	0.30034
26850000	0.31018
26950000	0.29888
27050000	0.24418
27150000	0.17845
27250000	0.22684
27350000	0.23713426853707414
27450000	0.21361
27550000	0.25378
27650000	0.10058
27750000	0.27887
27850000	0.17577
27950000	0.14271
28050000	0.23364
28150000	0.23467
28250000	0.27759
28350000	0.2169
28450000	0.21201
28550000	0.24205
28650000	0.18384
28750000	0.22938877755511022
28850000	0.20751
28950000	0.17585
29050000	0.29879
29150000	0.17981
29250000	0.19887
29350000	0.1788
29450000	0.1521
29550000	0.18753
29650000	0.20463
29750000	0.17047
29850000	0.17462
29950000	0.17123
30050000	0.23092
30150000	0.20406
30250000	0.31662
30350000	0.26444
30450000	0.21214
30550000	0.23837
30650000	0.30019
30750000	0.19368
30850000	0.1602
30950000	0.19697
31050000	0.29142
31150000	0.37387
31250000	0.30129
31350000	0.20219
31450000	0.20172
31550000	0.19163
31650000	0.20993
31750000	0.29958
31850000	0.23009
31950000	0.24354
32050000	0.18861
32150000	0.24084
32250000	0.26454
32350000	0.28899
32450000	0.23433
32550000	0.27282
32650000	0.30377
32750000	0.25057
32850000	0.18784
32950000	0.24716
33050000	0.26868
33150000	0.31148
33250000	0.27762
33350000	0.24954
33450000	0.25552
33550000	0.15942
33650000	0.21229
33750000	0.23272
33850000	0.22021
33950000	0.24608
34050000	0.25593
34150000	0.24661
34250000	0.27488
34350000	0.31402
34450000	0.22728
34550000	0.20129
34650000	0.25473
34750000	0.32458
34850000	0.25901
34950000	0.25674
35050000	0.29385
35150000	0.21927
35250000	0.24669
35350000	0.27844689378757514
35450000	0.29843
35550000	0.18394
35650000	0.27286
35750000	0.21374
35850000	0.15921
35950000	0.20071
36050000	0.1796
36150000	0.17858
36250000	0.17588
36350000	0.29257
36450000	0.29253
36550000	0.34323
36650000	0.20087
